combination,num_contigs_with_combo
tet(A)|aph(6)-Id|aph(3'')-Ib|sul2|blaCMY-2,1
floR|tet(A)|aph(6)-Id|dfrA14|aph(3'')-Ib|sul2,1
sul2|aph(3'')-Ib|dfrA14|aph(6)-Id|tet(A),1
blaCTX-M-15|qnrS1,1
sul1|dfrA5,1
dfrA5|sul1,1
tet(A)|aph(6)-Id|aph(3'')-Ib|sul2|blaTEM-1|cmlA1|aadA2|dfrA12,1
dfrA12|aadA2|cmlA1|blaTEM-1|sul2,1
cmlA1|blaTEM-1|sul2|aph(3'')-Ib|aph(6)-Id|tet(A),1
tet(A)|sul1|aadA1,1
blaTEM-1|aph(6)-Id|aph(3'')-Ib|tet(A),1
dfrA1|sat2|aadA1|floR|tet(A),1
aph(3')-Ia|tet(A),1
sul1|aadA1|dfrA1|aph(6)-Id|aph(3'')-Ib|sul2,1
sul2|aph(3'')-Ib|aph(6)-Id|dfrA1|aadA1|sul1,1
sul1|aadA1|blaOXA-1|catA1,1
catA1|blaOXA-1|aadA1|sul1,1
sul2|blaTEM-1,1
aadA1|cmlA1|aadA2,1
blaTEM|sul2,1
dfrA12|aadA2|lnu(F),1
tet(A)|sul1|aadA1|dfrA1|aph(6)-Id|aph(3'')-Ib|sul2,1
dfrA1|aadA1|sul1|tet(A),1
sul1|aadA2|dfrA12|tet(A),1
blaCTX-M-14,1
sul1|aadA7,1
sul1|aadA1|floR|tet(A)|aph(6)-Id|aph(3'')-Ib|sul2,1
sat2|dfrA1,1
dfrA1|sat2,1
sul1|aph(3')-Ia,1
sul1|aadA1|blaOXA-1,1
blaOXA-1|aadA1|sul1,1
aph(3')-Ia|dfrA12|aadA2|sul1,1
blaTEM-1|dfrA17|aadA5|sul1,1
aadA25|aac(3)-VIa|sul1|aph(3')-Ia,1
sul2|aph(6)-Id|dfrA14|aph(3'')-Ib,1
aph(6)-Id|sul2|aph(3'')-Ib|dfrA14,1
sul1|blaOXA-2|aadA1,1
sul2|blaCTX-M-65,1
floR|blaCTX-M-55,1
tet(A)|aph(6)-Id|aph(3'')-Ib|sul2|aadA5|dfrA17,1
dfrA19|sul1|aadA2,1
aadA2|sul1|dfrA19,1
sul1|aadA6,1
sul1|dfrA7,1
aph(3'')-Ib|aph(6)-Id|tet(A)|floR,1
aph(3')-Ia|sul1|aadA7,1
aph(6)-Id|aph(3'')-Ib|blaTEM-1,1
blaTEM-1|aph(3'')-Ib|aph(6)-Id,1
sul1|aadA5|dfrA17,1
aadA12,1
aac(3)-VIa|aadA1,1
aadA1|aac(3)-VIa,1
blaTEM-1|aph(6)-Id|aph(3'')-Ib|sul2,1
dfrA23|sul1|aadA2,1
cmlA1|aadA2|dfrA12,1
sat2,1
sul2|aph(3'')-Ib|aph(6)-Id|tet(A)|floR|aadA1|sat2|dfrA1,1
tet(A)|aph(6)-Id|aph(3'')-Ib|sul2|blaCMY-2|sul1,1
aadA5|dfrA17|floR|tet(A)|aph(6)-Id|aph(3'')-Ib|sul2,1
sul1|dfrA1|sul2|aph(3'')-Ib|aph(6)-Id|tet(A)|floR,1
dfrA1|sul1,1
blaEC,1
dfrA12|aadA2|cmlA1|aadA1|sul3,1
aph(6)-Id|aph(3'')-Ib|sul2|blaCMY-2,1
aadA25|sul1|mph(A),1
aadA25,1
aph(3')-Ia|aph(6)-Id|aph(3'')-Ib|tet(B),1
dfrA14|aadA1|blaOXA-10|cmlA5|arr-2,1
arr-2|cmlA5|blaOXA-10|aadA1|dfrA14,1
sul1|aac(3)-VIa|aadA6,1
aph(6)-Id|aph(3'')-Ib|sul2|blaTEM|tet(A),1
dfrA12|aadA2|sul1|mph(A),1
aph(3'')-Ib|aph(6)-Id|tet(A)|floR|dfrA23|sul1|aadA2,1
mph(A)|sul1|dfrA1|tet(A)|floR,1
mph(A)|sul1|dfrA1|tet(A),1
blaCTX-M,1
aph(6)-Id|sul2|aph(3'')-Ib,1
tet(A)|aph(3')-Ia,1
aadA22|lnu(F),1
tet(A)|sul2|aph(3'')-Ib,1
cmlA1|aadA1|blaTEM-1,1
qnrS1|blaCTX-M-15,1
aac(3)-IId|blaTEM-1,1
aadA1|sat2|dfrA1|floR,1
