"Sample_Size","Year","All_Rules","Best_Rules"
295,"2002",101,6
311,"2003",216,13
338,"2004",1054,191
316,"2005",1033,228
295,"2006",2796,339
256,"2007",91,29
250,"2008",744,226
247,"2009",569,89
269,"2010",1044,458
215,"2011",91,26
271,"2012",129,14
227,"2013",1025,277
205,"2014",133,38
227,"2015",231,86
174,"2016",592,220
271,"2017",144,30
310,"2018",6272,894
286,"2019",120,14
386,"2021",2812,524
