"Year","N","AMC","AMP","AXO","AZI","CHL","CIP","COT","FIS","FOX","GEN","MER","NAL","STR","TET"
"2017",271,"0.37","6.27","0.37","0","2.58","0","1.11","6.27","0","0","0","1.85","7.75","21.77"
"2018",310,"2.26","9.35","1.94","0.65","7.1","0.32","6.77","14.52","1.29","1.61","0","2.27","16.45","27.1"
"2019",286,"0","2.1","0","0","2.45","0","0.7","6.64","0","0.7","0","0.7","9.44","19.58"
"2020",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021",386,"1.3","6.74","1.04","0.26","4.15","0.26","2.07","10.62","0.78","1.04","0","1.04","NaN","20.98"
"2017 - 2021",1253,"0.98","6.12","0.84","0.23","4.07","0.15","2.66","9.51","0.52","0.84","0.00","1.47","11.21","22.36"
"SD",NA,"1.01","3.00","0.85","0.31","2.16","0.17","2.80","3.88","0.63","0.67","0.00","0.72","4.61","3.29"
