"Year","N","AMC","AMI","AMP","AXO","CHL","CIP","COT","FIS","FOX","GEN","KAN","NAL","STR","TET","TIO","AZI"
2004,400,10.5,0,17.25,6.75,4.25,7,4.25,41.25,10.5,32.75,7.75,7,56.75,48.75,6.75,NA
2005,393,13.9949109414758,0,25.4452926208651,10.4325699745547,2.54452926208651,8.65139949109415,7.37913486005089,48.0916030534351,12.7226463104326,40.2035623409669,8.14249363867684,6.61577608142494,50.6361323155216,48.6005089058524,10.1781170483461,NA
2006,418,12.200956937799,0,20.5741626794258,9.33014354066986,3.58851674641148,4.78468899521531,8.85167464114833,46.88995215311,13.6363636363636,39.2344497607655,12.4401913875598,5.02392344497608,48.0861244019139,52.6315789473684,8.85167464114833,NA
2007,299,7.69230769230769,0,18.0602006688963,6.35451505016722,3.34448160535117,3.01003344481605,5.01672240802676,42.1404682274247,8.69565217391304,36.4548494983278,9.69899665551839,3.01003344481605,46.8227424749164,42.809364548495,6.35451505016722,NA
2008,306,14.7058823529412,0,23.5294117647059,11.437908496732,1.96078431372549,3.26797385620915,3.59477124183007,39.2156862745098,14.0522875816993,35.2941176470588,9.47712418300654,2.94117647058824,43.7908496732026,44.4444444444444,11.1111111111111,NA
2009,315,14.2857142857143,0,22.2929936305732,12.3809523809524,1.58730158730159,2.85714285714286,2.22222222222222,40.6349206349206,13.3333333333333,36.5079365079365,5.71428571428571,2.85714285714286,38.0952380952381,42.8571428571429,12.3809523809524,NA
2010,357,8.12324929971989,0,16.8067226890756,6.44257703081232,1.96078431372549,3.64145658263305,4.20168067226891,38.9355742296919,9.2436974789916,35.2941176470588,6.72268907563025,3.64145658263305,39.2156862745098,40.0560224089636,6.72268907563025,NA
2011,341,14.3695014662757,NA,26.3929618768328,12.6099706744868,1.17302052785924,2.63929618768328,2.34604105571848,44.2815249266862,14.3695014662757,39.2961876832845,6.158357771261,2.34604105571848,43.4017595307918,41.9354838709677,12.6099706744868,0
2012,386,9.32642487046632,NA,15.8031088082902,8.03108808290155,2.07253886010363,1.55440414507772,2.59067357512953,37.8238341968912,8.80829015544041,33.9378238341969,6.47668393782383,1.81347150259067,39.6373056994819,40.9326424870466,7.7720207253886,0
