"ID","Year","AMC","AMI","AMP","AXO","CHL","CIP","COT","FIS","FOX","GEN","KAN","NAL","STR","TET","TIO","AZI"
"07GA07CB03",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA
"07GA07CB04",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA07CB05",2007,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,NA
"07GA07CB06",2007,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA
"07GA07CB07",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA
"07GA07CB08",2007,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,NA
"07GA07CB09",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"07GA07CB10",2007,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,NA
"07GA08CB01",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA08CB02",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA08CB03",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,NA
"07GA08CB04",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA
"07GA08CB05",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA08CB06",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA08CB07",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA
"07GA08CB08",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA
"07GA08CB09",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA08CB10",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA09CB01",2007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA09CB02",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA09CB03",2007,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,NA
"07GA09CB04",2007,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,NA
"07GA09CB06",2007,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,NA
"07GA09CB07",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA09CB08",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA09CB09",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA09CB10",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"07GA10CB01",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA
"07GA10CB02",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA10CB04",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA10CB05",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA
"07GA10CB07",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA10CB09",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA10CB10",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA11CB01",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA11CB02",2007,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,NA
"07GA11CB03",2007,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA
"07GA11CB04",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"07GA11CB05",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA11CB06",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"07GA11CB07",2007,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"07GA11CB08",2007,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,NA
"07GA11CB09",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA11CB10",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA12CB01",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,NA
"07GA12CB02",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA12CB03",2007,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,NA
"07GA12CB04",2007,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,NA
"07GA12CB05",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"07GA12CB06",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"07GA12CB07",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA12CB08",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07GA12CB09",2007,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,NA
"07GA12CB10",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"07OR03CB490",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA
"07OR03CB491",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07OR03CB492",2007,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA
"07OR03CB493",2007,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA
"07OR03CB494",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA
"07OR03CB495",2007,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,NA
"07OR03CB496",2007,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,NA
"07OR03CB497",2007,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,NA
"07OR03CB498",2007,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,NA
"07OR03CB499",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07OR04CB02",2007,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,NA
"07OR04CB05",2007,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,NA
"07OR04CB06",2007,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,NA
"07OR04CB07",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,NA
"07OR04CB09",2007,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,NA
"07OR04CB10",2007,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,NA
"07OR05CB01",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07OR05CB02",2007,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,NA
"07OR05CB03",2007,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA
"07OR05CB04",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA
"07OR05CB05",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA
"07OR05CB06",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,NA
"07OR05CB07",2007,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,NA
"07OR05CB09",2007,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA
"07OR05CB10",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA
"07OR06CB01",2007,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA
"07OR06CB02",2007,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,NA
"07OR06CB03",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"07OR06CB04",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA
"07OR06CB05",2007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07OR06CB06",2007,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,NA
"07OR06CB07",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"07OR06CB08",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA
"07OR06CB09",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA
"07OR06CB10",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA
"07OR07CB01",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07OR07CB02",2007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07OR07CB03",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07OR07CB05",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA
"07OR07CB06",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA
"07OR07CB07",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA
"07OR07CB08",2007,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,NA
"07OR07CB09",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA
"07OR07CB10",2007,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,NA
"07OR08CB01",2007,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,NA
"07OR08CB02",2007,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,NA
"07OR08CB04",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"07OR08CB06",2007,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,NA
"07OR08CB07",2007,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,NA
"07OR09CB02",2007,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,NA
"07OR09CB03",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,NA
"07OR09CB04",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA
"07OR09CB05",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA
"07OR09CB06",2007,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,NA
"07OR09CB08",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07OR09CB09",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07OR09CB10",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,NA
"07OR10CB03",2007,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,NA
"07OR10CB04",2007,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,NA
"07OR10CB05",2007,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,NA
"07OR10CB06",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,NA
"07OR10CB07",2007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07OR10CB08",2007,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,NA
"07OR10CB09",2007,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,NA
"07OR10CB10",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07OR11CB01",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA
"07OR11CB02",2007,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,NA
"07OR11CB03",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA
"07OR11CB04",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,NA
"07OR11CB05",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07OR11CB06",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA
"07OR11CB07",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA
"07OR11CB10",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07OR12CB01",2007,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,NA
"07OR12CB03",2007,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,NA
"07OR12CB04",2007,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,NA
"07OR12CB05",2007,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,NA
"07OR12CB06",2007,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,NA
"07OR12CB07",2007,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,NA
"07OR12CB10",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN01CB01",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"07TN01CB02",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA
"07TN01CB03",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"07TN01CB04",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN01CB05",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA
"07TN01CB06",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN01CB07",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN01CB08",2007,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,NA
"07TN03CB01",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA
"07TN03CB02",2007,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,NA
"07TN03CB03",2007,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,NA
"07TN03CB04",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA
"07TN03CB05",2007,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,NA
"07TN03CB06",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN03CB07",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,NA
"07TN03CB08",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN03CB09",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,NA
"07TN03CB10",2007,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,NA
"07TN04CB01",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN04CB02",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN04CB03",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN04CB04",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN04CB05",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN04CB06",2007,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,NA
"07TN04CB07",2007,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,NA
"07TN04CB08",2007,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,NA
"07TN04CB09",2007,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA
"07TN04CB10",2007,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,NA
"07TN05CB01",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN05CB02",2007,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,NA
"07TN05CB03",2007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"07TN05CB04",2007,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,NA
"07TN05CB05",2007,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA
"07TN05CB07",2007,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,NA
"07TN05CB08",2007,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,NA
"07TN05CB09",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN05CB10",2007,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA
"07TN06CB02",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN06CB03",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN06CB05",2007,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,NA
"07TN06CB06",2007,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,NA
"07TN06CB07",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN06CB09",2007,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,NA
"07TN06CB10",2007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN07CB01",2007,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,NA
"07TN07CB02",2007,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,NA
"07TN07CB03",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN07CB04",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN07CB07",2007,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,NA
"07TN07CB08",2007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN07CB09",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN07CB10",2007,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,NA
"07TN08CB01",2007,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA
"07TN08CB02",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN08CB03",2007,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,NA
"07TN08CB04",2007,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,NA
"07TN08CB05",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN08CB06",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN08CB07",2007,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,NA
"07TN08CB08",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"07TN08CB09",2007,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
