"Sample_Size","Year","All_Rules","Best_Rules"
936,"2017",2772,464
1029,"2018",5952,556
759,"2019",2128,208
477,"2020",7184,340
282,"2021",3984,408
407,"2022",3948,305
219,"2023",1291,394
