"ID","Year","AMC","AMP","AXO","AZI","CHL","CIP","COT","FIS","FOX","GEN","NAL","TET","MER"
210014679,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210014681,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210014683,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210014685,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210014687,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210014688,2013,0,0,0,0,0,0,0,1,0,0,0,1,NA
210015962,2013,0,1,0,0,0,0,0,0,0,0,0,1,NA
210015963,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210015964,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210015965,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210015966,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210015967,2013,0,0,0,0,0,0,0,0,0,0,0,1,NA
210015968,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210015969,2013,0,0,0,0,0,0,0,0,0,0,0,1,NA
210015973,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210015976,2013,0,0,0,0,0,0,0,0,0,0,0,1,NA
210015978,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210015979,2013,0,0,0,0,0,0,0,0,0,0,0,1,NA
210015982,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210015985,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210015987,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210016963,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210016964,2013,0,0,0,0,0,0,0,1,0,0,0,1,NA
210016965,2013,1,1,1,0,0,0,0,1,0,0,0,1,NA
210016966,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210016968,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210016969,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210016970,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210016972,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210016974,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210016975,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210016979,2013,0,0,0,0,0,0,0,0,0,0,0,1,NA
210016981,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210016982,2013,0,0,0,0,0,0,0,0,0,0,0,1,NA
210016983,2013,0,0,0,0,0,0,0,1,0,0,0,1,NA
210016984,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210016985,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210016987,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210016989,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210016991,2013,0,0,0,0,0,0,0,0,0,0,0,1,NA
210016993,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210018560,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210018561,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210018562,2013,0,0,0,0,0,0,0,0,0,0,0,1,NA
210018563,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210018564,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210018565,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210018570,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210018571,2013,1,1,1,0,1,0,0,1,1,0,0,1,NA
210019954,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210019957,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210019958,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210019959,2013,0,0,0,0,1,0,0,1,0,0,0,1,NA
210019960,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210019963,2013,0,0,0,0,0,0,0,0,0,0,0,1,NA
210019965,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210019973,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210019976,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210019977,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210019979,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210021311,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210021313,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210021315,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210021316,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210021317,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210021321,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210021322,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210021323,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210021324,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210021326,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210021327,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210021328,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210021329,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210021330,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210021331,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210022367,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210022368,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210022370,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210022372,2013,0,0,0,0,0,0,0,0,0,0,0,1,NA
210022373,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210022374,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210022375,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210022377,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210022379,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210022380,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210022381,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210022382,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210022383,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210022385,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210023831,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210023832,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210023836,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210023837,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210023838,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210023839,2013,0,1,0,0,0,0,0,1,0,0,0,1,NA
210023840,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
210023841,2013,0,0,0,0,0,0,0,0,0,0,0,0,NA
