"Sample_Size","Year","All_Rules","Best_Rules"
293,"2013",52,8
326,"2014",520,138
566,"2015",2540,180
738,"2016",2460,483
936,"2017",1228,227
1029,"2018",2672,283
759,"2019",996,95
477,"2020",7184,340
282,"2021",3984,408
407,"2022",3948,305
219,"2023",1291,394
