"Sample_Size","Year","All_Rules","Best_Rules"
293,"2013",52,8
326,"2014",72,12
566,"2015",105,15
738,"2016",192,35
936,"2017",128,19
1029,"2018",192,15
759,"2019",240,9
477,"2020",332,28
282,"2021",240,24
407,"2022",240,30
219,"2023",192,42
