"ID","Year","AMC","AMP","AXO","CHL","CIP","COT","FIS","FOX","GEN","NAL","TET","AZI","MER","SMX"
"07GA08GB03",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA08GB04",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA08GB05",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA08GB06",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA08GB08",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA08GB09",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA08GB10",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA09GB01",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA09GB02",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA09GB03",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07GA09GB04",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07GA09GB06",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA09GB07",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA09GB08",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA09GB09",2007,0,1,0,1,0,0,1,0,0,0,1,NA,NA,NA
"07GA09GB10",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07GA10GB05",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA10GB10",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA11GB01",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07GA11GB02",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA11GB03",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA11GB04",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA11GB05",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA11GB06",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07GA11GB07",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA11GB08",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA11GB09",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA11GB10",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07GA12GB01",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA12GB02",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA12GB03",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA12GB04",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA12GB06",2007,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA
"07GA12GB07",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA12GB08",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA12GB09",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07GA12GB10",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR03GB471",2007,0,1,0,0,0,1,1,0,0,0,1,NA,NA,NA
"07OR03GB472",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR03GB473",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR03GB474",2007,1,1,1,0,0,0,0,1,0,0,0,NA,NA,NA
"07OR03GB475",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR03GB476",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07OR03GB477",2007,0,1,0,0,0,1,1,0,0,0,0,NA,NA,NA
"07OR03GB479",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR04GB01",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR04GB02",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR04GB03",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR04GB04",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR04GB07",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR04GB08",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR04GB09",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07OR04GB10",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07OR05GB01",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR05GB02",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR05GB03",2007,0,0,0,1,0,0,1,0,0,0,1,NA,NA,NA
"07OR05GB04",2007,0,0,0,1,0,0,1,0,0,0,1,NA,NA,NA
"07OR05GB05",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR05GB06",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR05GB07",2007,0,0,0,1,0,0,1,0,0,0,1,NA,NA,NA
"07OR05GB08",2007,0,0,0,1,0,0,1,0,0,0,1,NA,NA,NA
"07OR06GB01",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR06GB02",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR06GB03",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR06GB04",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR06GB05",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR06GB06",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07OR06GB07",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR06GB08",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR06GB09",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR06GB10",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR07GB02",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07OR07GB07",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR07GB08",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR07GB10",2007,0,0,0,1,0,0,1,0,0,0,1,NA,NA,NA
"07OR08GB01",2007,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"07OR08GB05",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR08GB06",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR08GB09",2007,1,1,1,0,0,0,0,1,0,0,0,NA,NA,NA
"07OR08GB10",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"07OR09GB01",2007,0,1,0,0,0,1,1,0,0,0,1,NA,NA,NA
"07OR09GB02",2007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
