"Comparison","Prob_Positive_Diff","CI_Lower","CI_Upper","ESS"
"NAHLN vs NARMS_CECAL",1,0.451611648797234,0.604026249170988,955.408762261296
"NAHLN vs NARMS_MEAT",1,0.628706184891416,0.785560095806431,955.408762261296
"NARMS_CECAL vs NARMS_MEAT",1,0.127880785049092,0.235718766116906,955.408762261296
