"source","sample_size","mean_genes","sd_genes","lower_ci","upper_ci"
"NARMS_CECAL",514,79.89,3.06130955011351,79.2899833281778,80.4900166718222
"NARMS_CECAL",595,81.06,2.77732521565901,80.5156442577308,81.6043557422692
"NARMS_CECAL",688,82.48,2.63419625293749,81.9636975344243,82.9963024655758
"NARMS_CECAL",795,84.05,1.92996048528136,83.6717277448848,84.4282722551151
"NARMS_CECAL",919,85.48,1.43181738015049,85.1993637934905,85.7606362065095
"NARMS_CECAL",1063,86.8,1.31040898851149,86.5431598382517,87.0568401617483
"NARMS_CECAL",1229,88,0,88,88
"NAHLN",1,11.26,6.54528899902885,9.97712335619035,12.5428766438097
"NAHLN",2,18.79,8.24902198059647,17.1731916918031,20.4068083081969
"NAHLN",3,21.3,7.94869915028982,19.7420549665432,22.8579450334568
"NAHLN",4,29.27,8.37969527663703,27.6275797257791,30.9124202742209
"NAHLN",5,29.91,8.86497477592451,28.1724649439188,31.6475350560812
"NAHLN",6,31.99,9.84372332447885,30.0606302284021,33.9193697715979
"NAHLN",7,35.84,9.77082856819681,33.9249176006334,37.7550823993666
"NAHLN",8,39.63,10.3656922469064,37.5983243196063,41.6616756803937
"NAHLN",9,41.42,9.36162379077476,39.5851217370082,43.2548782629919
"NAHLN",10,44.61,8.79726197073943,42.8857366537351,46.3342633462649
"NAHLN",12,47.58,9.67155571244822,45.6843750803601,49.4756249196398
"NAHLN",13,50.31,10.0390097704762,48.3423540849867,52.2776459150133
"NAHLN",15,54.46,9.32187608463949,52.6329122874107,56.2870877125893
"NAHLN",16,53.51,9.92038509353545,51.565604521667,55.4543954783329
"NAHLN",18,55.8,8.56820526213871,54.1206317686208,57.4793682313792
"NAHLN",21,58.44,10.0053722942964,56.4789470303179,60.4010529696821
"NAHLN",23,61.07,8.81946309550243,59.3413852332815,62.7986147667185
"NAHLN",26,62.9,7.92706653424732,61.3462949592875,64.4537050407125
"NAHLN",29,65.2,6.70745100540429,63.8853396029408,66.5146603970592
"NAHLN",33,67.38,7.02632855261501,66.0028396036874,68.7571603963125
"NAHLN",37,70.01,5.49838360086146,68.9323168142312,71.0876831857689
"NAHLN",41,71.13,6.1161402630394,69.9312365084443,72.3287634915557
"NAHLN",47,71.87,5.41911133644324,70.8078541780571,72.9321458219429
"NAHLN",52,74.28,4.55733397166512,73.3867625415536,75.1732374584464
"NAHLN",59,75.42,4.84544980764261,74.470291837702,76.369708162298
"NAHLN",66,76.31,4.29398216441136,75.4683794957754,77.1516205042246
"NAHLN",74,77.89,3.48704673749793,77.2065388394504,78.5734611605496
"NAHLN",83,79.05,3.16028064218571,78.4305849941316,79.6694150058684
"NAHLN",94,80.35,2.95205800495967,79.7713966310279,80.9286033689721
"NAHLN",105,81.51,3.19562516607004,80.8836574674503,82.1363425325497
"NAHLN",118,82.76,2.73444175603938,82.2240494158163,83.2959505841837
"NAHLN",133,83.51,2.52060198036785,83.0159620118479,84.0040379881521
"NAHLN",149,84.45,2.25798247302428,84.0074354352872,84.8925645647128
"NAHLN",168,85.63,2.28590322090712,85.1819629687022,86.0780370312978
"NAHLN",188,86.35,2.03194189847738,85.9517393878984,86.7482606121016
"NAHLN",212,87.36,1.67283706271228,87.0321239357084,87.6878760642916
"NAHLN",238,88.18,1.28220138981379,87.9286885275965,88.4313114724035
"NAHLN",267,89.34,0.855404683011013,89.1723406821298,89.5076593178702
"NAHLN",300,90,0,90,90
