"Parameter","Geweke_Z","Effective_Size","Total_Samples"
"(Intercept)",-1.09875057536335,2585.29824378243,8000
"SourceNARMS_CECAL",0.756412616483044,2036.11596714649,8000
"SourceNARMS_MEAT",0.86799703667484,2329.00864692562,8000
