"Parameter","Mean","Lower_CI","Upper_CI","pMCMC"
"(Intercept)",2.26836315405667,2.20382895867806,2.33766879518498,0.000125
"SourceNARMS_CECAL",-0.526358751951522,-0.601074561433052,-0.449371531802171,0.000125
"SourceNARMS_MEAT",-0.707134232772181,-0.786659763929492,-0.630708573546144,0.000125
