"Year","N","AMC","AMP","AXO","AZI","CHL","CIP","COT","FIS","FOX","GEN","MER","NAL","STR","TET"
"2017",271,"0.37","6.27","0.37","0","2.58","0","1.11","6.27","0","0","0","1.85","7.75","21.77"
"2018",310,"2.26","9.35","1.94","0.65","7.1","0.32","6.77","14.52","1.29","1.61","0","2.27","16.45","27.1"
"2019",286,"0","2.1","0","0","2.45","0","0.7","6.64","0","0.7","0","0.7","9.44","19.58"
"2020",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021",386,"1.3","6.74","1.04","0.26","4.15","0.26","2.07","10.62","0.78","1.04","0","1.04","NaN","20.98"
"2017 - 2021",1253,"M = 0.98; SD = 1.01","M = 6.12; SD = 3.00","M = 0.84; SD = 0.85","M = 0.23; SD = 0.31","M = 4.07; SD = 2.16","M = 0.15; SD = 0.17","M = 2.66; SD = 2.80","M = 9.51; SD = 3.88","M = 0.52; SD = 0.63","M = 0.84; SD = 0.67","M = 0.00; SD = 0.00","M = 1.47; SD = 0.72","M = 11.21; SD = 4.61","M = 22.36; SD = 3.29"
