"Parameter","Mean","Lower_CI","Upper_CI","pMCMC"
"(Intercept)",2.26809408781792,2.20039260858903,2.33267094855546,0.000125
"SourceNARMS_CECAL",-0.525105090618604,-0.596443243270187,-0.446527671825606,0.000125
"SourceNARMS_MEAT",-0.705625063221078,-0.784343061968684,-0.629600172451319,0.000125
