"Comparison","Prob_Positive_Diff","CI_Lower","CI_Upper","ESS"
"NAHLN vs NARMS_CECAL",1,0.45003563671653,0.600515216781514,2336.31727495122
"NAHLN vs NARMS_MEAT",1,0.628185821271291,0.783632104953722,2336.31727495122
"NARMS_CECAL vs NARMS_MEAT",1,0.127366526668084,0.233689045066649,2336.31727495122
