"Resistance_Pattern","Frequency","recovered_resistance_pattern"
"aadA1, aadA2, cmlA1, dfrA16, floR, sul3, tet(A)",1,"Yes"
"aadA1, aadA2, cmlA1, glpT, sul3, tet(A)",1,"Yes"
"aadA1, aadA2, cmlA1, sul3, tet(B)",1,"Yes"
"aadA1, aadA2, dfrA1, dfrA23, floR, sul1, sul2, tet(A)",1,"Yes"
"aadA1, aadA22, cyaA.S352T., dfrA14, emrD, floR, lnu(F), sul3, tet(A), uhpT",1,"Yes"
"aadA1, ampC, sul2, tet(B)",1,"Yes"
"aadA1, aph(3')-Ia, dfrA1, sul1, tet(A)",1,"Yes"
"aadA1, aph(6)-Ic, tet(A), tet(B)",1,"Yes"
"aadA1, arr.2.mdtM, bla, cmlA5, dfrA14, floR, sul2, tet(A), tet(B)",1,"Yes"
"aadA1, bla, catA1, cyaA.S352T., sul1",1,"Yes"
"aadA1, bla, catA1, floR, sul1, sul2, tet(A), tet(B)",1,"Yes"
"aadA1, bla, catA1, sul1, sul2, tet(B)",1,"Yes"
"aadA1, bla, glpT, sul2",1,"Yes"
"aadA1, bla, sul1, tet(A)",1,"Yes"
"aadA1, catA1, dfrA1, emrD, sul1, uhpT",1,"Yes"
"aadA1, catA1, dfrA5, sul1, sul2, tet(A)",1,"Yes"
"aadA1, catA1, sul1, tet(B)",1,"Yes"
"aadA1, cyaA.S352T., dfrA1, emrD, floR, sul2, tet(A)",1,"Yes"
"aadA1, cyaA.S352T., emrD, floR, sul1, sul2, tet(A)",1,"Yes"
"aadA1, cyaA.S352T., emrD, sul1, sul2, tet(A), tet(B)",1,"Yes"
"aadA1, cyaA.S352T., emrD, sul1, tet(A)",1,"Yes"
"aadA1, dfrA1",1,"No"
"aadA1, dfrA1, dfrA5, floR, sul2, tet(A)",1,"Yes"
"aadA1, dfrA1, dfrA7, floR, glpT, sul1, sul2, tet(A), tet(B)",1,"Yes"
"aadA1, dfrA1, floR, sul2, tet(A)",1,"Yes"
"aadA1, dfrA1, floR, sul2, tet(A), uhpT",1,"Yes"
"aadA1, dfrA1, floR, sul2, tet(B)",1,"Yes"
"aadA1, dfrA1, floR, tet(A)",1,"Yes"
"aadA1, dfrA1, gyrA, sul1, sul2, tet(A), uhpT",1,"Yes"
"aadA1, dfrA1, sul1, sul2, tet(A)",1,"Yes"
"aadA1, dfrA1, sul1, tet(B)",1,"Yes"
"aadA1, dfrA1, tet(A)",1,"Yes"
"aadA1, dfrA14, floR, gyrA, sul3, tet(A)",1,"Yes"
"aadA1, floR, gyrA, sul2, tet(A)",1,"Yes"
"aadA1, floR, sul2, tet(A)",1,"Yes"
"aadA1, floR, sul3, tet(A)",1,"Yes"
"aadA1, mef(A), tet(A)",1,"Yes"
"aadA1, mef(A), tet(B)",1,"Yes"
"aadA1, uhpT",1,"No"
"aadA12, catA1, dfrA5, sul1, sul2, tet(A)",1,"Yes"
"aadA12, catA1, sul1, tet(A)",1,"Yes"
"aadA12, dfrA1, floR, sul1, sul2, tet(A)",1,"Yes"
"aadA12, dfrA1, sul1, sul2, tet(A)",1,"Yes"
"aadA12, sul1, tet(A)",1,"Yes"
"aadA13, sul1, tet(C)",1,"Yes"
"aadA2, ampC, dfrA12, sul1, sul2, tet(B)",1,"Yes"
"aadA2, blaS, dfrA19, floR, mcr-9, sul1, sul2, tet(D)",1,"Yes"
"aadA2, catA1, dfrA12, floR, qnrA, sul1, tet(A)",1,"Yes"
"aadA2, cmlA1, dfrA16, floR, tet(A)",1,"Yes"
"aadA2, cmlA1, mef(A), sul3, tet(A)",1,"Yes"
"aadA2, dfrA1, floR, mph(A), qnrA, sul1, tet(A)",1,"Yes"
"aadA2, dfrA12, emrD, sul1",1,"Yes"
"aadA2, dfrA12, floR, mph(A), sul1, sul2, tet(A)",1,"Yes"
"aadA2, dfrA12, floR, sul1, sul2, tet(A), uhpT",1,"Yes"
"aadA2, dfrA12, mph(A), sul1, sul2, tet(B)",1,"Yes"
"aadA2, dfrA12, sul1, sul2, tet(A)",1,"Yes"
"aadA2, dfrA18, ere(A), floR, sul1, sul2, tet(B)",1,"Yes"
"aadA2, dfrA23, dfrA5, floR, sul1, sul2, tet(A)",1,"Yes"
"aadA2, dfrA23, floR, sul1, sul2, tet(A)",1,"Yes"
"aadA25, cyaA.S352T., emrD, floR, sul1, sul2, tet(A), tet(B)",1,"Yes"
"aadA25, floR, mph(A), sul1, sul2, tet(A)",1,"Yes"
"aadA7, cyaA.S352T., emrD, sul1, tet(A)",1,"Yes"
"aadA7, cyaA.S352T., sul1, tet(A)",1,"Yes"
"aph(3')-Ia, floR, sul2, tet(B)",1,"Yes"
"aph(3')-Ia, gyrA, sul2, tet(B)",1,"Yes"
"aph(3')-Ia, tet(B)",1,"Yes"
"aph(6)-Ic, floR, sul1, tet(A)",1,"Yes"
"aph(6)-Ic, sul1, tet(A)",1,"Yes"
"aph(6)-Ic, sul1, tet(B)",1,"Yes"
"aph(6)-Ic, sul1, tet(B), tet(C)",1,"Yes"
"bla, glpT, sul2, tet(B)",1,"Yes"
"catA1, sul2, tet(A)",1,"Yes"
"cyaA.S352T., emrD",1,"Yes"
"cyaA.S352T., emrD, floR, sul2, tet(A)",1,"Yes"
"cyaA.S352T., emrD, glpT",1,"Yes"
"cyaA.S352T., emrD, mph(A), sul1, sul2, tet(A)",1,"Yes"
"cyaA.S352T., emrD, mph(A), sul1, sul2, tet(B)",1,"Yes"
"cyaA.S352T., emrD, sul2",1,"Yes"
"cyaA.S352T., emrD, sul2, tet(A)",1,"Yes"
"cyaA.S352T., emrD, tet(C)",1,"Yes"
"cyaA.S352T., emrD, uhpT",1,"Yes"
"cyaA.S352T., glpT",1,"No"
"dfrA1, erm(B), floR, mph(A), sul1, tet(A)",1,"Yes"
"dfrA1, floR, sul1, sul2, tet(A)",1,"Yes"
"dfrA1, sul2, tet(B)",1,"Yes"
"dfrA14, floR, sul2, tet(A)",1,"Yes"
"dfrA14, sul2, tet(A), tet(B)",1,"Yes"
"dfrA23, floR, sul2, tet(A)",1,"Yes"
"dfrA5, floR, sul2",1,"Yes"
"dfrA5, mef(A), sul2, tet(A)",1,"Yes"
"dfrA5, sul1",1,"No"
"dfrA7, sul1, tet(A)",1,"Yes"
"emrD, floR, glpT, sul2, tet(A)",1,"Yes"
"emrD, floR, tet(A), uhpT",1,"Yes"
"emrD, sul2, tet(B)",1,"Yes"
"emrD, tet(C)",1,"No"
"emrD, uhpT",1,"No"
"floR, glpT, sul2, tet(A), uhpT",1,"Yes"
"floR, gyrA, mph(A), sul1, sul2, tet(A), tet(B)",1,"Yes"
"floR, gyrA, mph(A), sul1, tet(B)",1,"Yes"
"floR, gyrA, sul1, sul2, tet(A)",1,"Yes"
"floR, gyrA, sul2, tet(B)",1,"Yes"
"floR, mph(A), tet(A)",1,"Yes"
"floR, sul2",1,"Yes"
"floR, sul2, tet(C)",1,"Yes"
"floR, sul2, uhpT",1,"Yes"
"floR, tet(A), tet(C)",1,"Yes"
"glpT, sul2, tet(B)",1,"Yes"
"glpT, tet(A), tet(C)",1,"Yes"
"glpT, tet(A), uhpT",1,"Yes"
"glpT, tet(C), uhpT",1,"No"
"gyrA, tet(A)",1,"Yes"
"mef(A), sul1, tet(A)",1,"Yes"
"mef(A), sul2, tet(B)",1,"Yes"
"mph(A), sul1, tet(B)",1,"Yes"
"mph(A), tet(B)",1,"Yes"
"sul1",1,NA
"sul1, tet(A), uhpT",1,"Yes"
"sul1, tet(B)",1,"Yes"
"sul2, tet(B), tet(C)",1,"Yes"
"tet(A), tet.A..1, uhpT",1,"Yes"
"tet(A), tet(C)",1,"Yes"
"tet(B), tet(C)",1,"Yes"
