Sample_Size,Year,All_Rules,Best_Rules
31,2018,6124644,1755997
74,2019,37852188,6123030
83,2020,19773204,2654220
91,2021,12544137,887770
3,2022,2304,2304
,,15259295.4,2284664.2
,,14615094.04,2361651.647
